Date,Hour,Minute,Power (kW)
5/8/2012,6,45,11.97
5/8/2012,7,0,11.97
5/8/2012,7,15,11.46
5/8/2012,7,30,11.46
5/8/2012,7,45,11.46
5/8/2012,8,0,11.46
5/8/2012,8,15,12.03
5/8/2012,8,30,12.03
5/8/2012,8,45,16
5/8/2012,9,0,17.09
5/8/2012,9,15,12.22
5/8/2012,9,30,11.65
5/8/2012,9,45,12.16
5/8/2012,10,0,16.13
5/8/2012,10,15,17.54
5/8/2012,10,30,16.64
5/8/2012,10,45,16.83
5/8/2012,11,0,17.92
5/8/2012,11,15,15.94
5/8/2012,11,30,12.16
5/8/2012,11,45,12.16
5/8/2012,12,0,12.16
5/8/2012,12,15,11.65
5/8/2012,12,30,11.65
5/8/2012,12,45,12.29
5/8/2012,13,0,12.1
5/8/2012,13,15,12.42
5/8/2012,13,30,11.9
5/8/2012,13,45,11.9
5/8/2012,14,0,12.1
5/8/2012,14,15,16.64
5/8/2012,14,30,12.03
5/8/2012,14,45,12.03
5/8/2012,15,0,12.03
5/8/2012,15,15,12.03
5/8/2012,15,30,16.26
5/8/2012,15,45,16.26
5/8/2012,16,0,19.07
5/8/2012,16,15,15.94
5/8/2012,16,30,12.29
5/8/2012,16,45,17.34
5/8/2012,17,0,19.33
5/8/2012,17,15,12.42
5/8/2012,17,30,11.97
5/8/2012,17,45,12.16
5/8/2012,18,0,15.1
5/8/2012,18,15,18.94
5/8/2012,18,30,17.15
5/8/2012,18,45,12.29
5/8/2012,19,0,12.29
5/8/2012,19,15,15.55
5/8/2012,19,30,11.97
5/8/2012,19,45,11.97
5/8/2012,20,0,11.97
5/8/2012,20,15,11.97
5/8/2012,20,30,11.97
5/8/2012,20,45,11.97
5/8/2012,21,0,11.97
5/8/2012,21,15,11.97
5/8/2012,21,30,13.63
5/8/2012,21,45,16.7
5/8/2012,22,0,12.42
5/8/2012,22,15,11.84
5/8/2012,22,30,11.84
5/8/2012,22,45,11.84
5/8/2012,23,0,17.6
5/8/2012,23,15,13.5
5/8/2012,23,30,12.1
5/8/2012,23,45,11.65
5/9/2012,0,0,12.16
5/9/2012,0,15,11.65
5/9/2012,0,30,17.98
5/9/2012,0,45,24.7
5/9/2012,1,0,16.96
5/9/2012,1,15,12.29
5/9/2012,1,30,12.29
5/9/2012,1,45,12.29
5/9/2012,2,0,12.42
5/9/2012,2,15,12.1
5/9/2012,2,30,12.29
5/9/2012,2,45,11.78
5/9/2012,3,0,12.03
5/9/2012,3,15,12.03
5/9/2012,3,30,11.84
5/9/2012,3,45,11.84
5/9/2012,4,0,18.37
5/9/2012,4,15,17.54
5/9/2012,4,30,11.97
5/9/2012,4,45,11.97
5/9/2012,5,0,16.7
5/9/2012,5,15,11.97
5/9/2012,5,30,12.29
5/9/2012,5,45,11.78
5/9/2012,6,0,12.29
5/9/2012,6,15,17.6
5/9/2012,6,30,12.29
5/9/2012,6,45,15.1
5/9/2012,7,0,12.22
5/9/2012,7,15,11.71
5/9/2012,7,30,11.71
5/9/2012,7,45,11.71
5/9/2012,8,0,11.71
5/9/2012,8,15,11.71
5/9/2012,8,30,11.78
5/9/2012,8,45,16.45
5/9/2012,9,0,12.22
5/9/2012,9,15,12.22
5/9/2012,9,30,11.71
5/9/2012,9,45,12.1
5/9/2012,10,0,12.16
5/9/2012,10,15,11.65
5/9/2012,10,30,11.65
5/9/2012,10,45,11.65
5/9/2012,11,0,12.16
5/9/2012,11,15,11.65
5/9/2012,11,30,14.46
5/9/2012,11,45,15.81
5/9/2012,12,0,12.22
5/9/2012,12,15,11.97
5/9/2012,12,30,11.97
5/9/2012,12,45,11.97
5/9/2012,13,0,11.97
5/9/2012,13,15,11.46
5/9/2012,13,30,11.46
5/9/2012,13,45,11.46
5/9/2012,14,0,11.97
5/9/2012,14,15,12.35
5/9/2012,14,30,12.1
5/9/2012,14,45,11.58
5/9/2012,15,0,11.58
5/9/2012,15,15,11.58
5/9/2012,15,30,11.58
5/9/2012,15,45,17.15
5/9/2012,16,0,12.1
5/9/2012,16,15,11.58
5/9/2012,16,30,11.58
5/9/2012,16,45,11.58
5/9/2012,17,0,11.58
5/9/2012,17,15,12.1
5/9/2012,17,30,11.9
5/9/2012,17,45,19.71
5/9/2012,18,0,12.29
5/9/2012,18,15,12.35
5/9/2012,18,30,15.36
5/9/2012,18,45,17.28
5/9/2012,19,0,11.97
5/9/2012,19,15,12.03
5/9/2012,19,30,15.74
5/9/2012,19,45,17.02
5/9/2012,20,0,16.38
5/9/2012,20,15,12.22
5/9/2012,20,30,12.22
5/9/2012,20,45,12.35
5/9/2012,21,0,16.38
5/9/2012,21,15,18.18
5/9/2012,21,30,17.15
5/9/2012,21,45,12.22
5/9/2012,22,0,12.29
5/9/2012,22,15,11.78
5/9/2012,22,30,17.15
5/9/2012,22,45,12.48
5/9/2012,23,0,12.03
5/9/2012,23,15,12.03
5/9/2012,23,30,12.03
5/9/2012,23,45,12.03
5/10/2012,0,0,17.02
5/10/2012,0,15,16.32
5/10/2012,0,30,11.33
5/10/2012,0,45,11.84
5/10/2012,1,0,11.84
5/10/2012,1,15,11.84
5/10/2012,1,30,11.84
5/10/2012,1,45,11.84
5/10/2012,2,0,11.84
5/10/2012,2,15,11.84
5/10/2012,2,30,11.84
5/10/2012,2,45,11.84
5/10/2012,3,0,11.84
5/10/2012,3,15,16.26
5/10/2012,3,30,12.03
5/10/2012,3,45,12.03
5/10/2012,4,0,12.03
5/10/2012,4,15,12.03
5/10/2012,4,30,11.52
5/10/2012,4,45,11.52
5/10/2012,5,0,11.52
5/10/2012,5,15,11.52
5/10/2012,5,30,11.52
5/10/2012,5,45,11.52
5/10/2012,6,0,11.52
